source,target,edge_type,status
Z_45_d_m,Z_34_d_f,bidirected,accepted
N68_d_f,N68_d_g,partial,accepted
Z_1_d_m,Z_1_a_m,partial,accepted
N19_d_f,N19_d_g,partial,accepted
N44_a_f,D0_44_a_x,directed,accepted
N25_d_f,N25_d_g,partial,accepted
Z_36_d_f,Z_36_a_f,partial,accepted
N60_a_f,N1_a_f,partial,accepted
N19_d_m,N19_d_g,partial,accepted
N44_a_m,D0_44_a_x,directed,accepted
N41_d_f,N41_d_g,partial,accepted
N22_a_f,N43_a_f,directed,accepted
Z_11_a_f,Z_11_d_f,partial,accepted
N41_d_m,N41_d_g,partial,accepted
Z_54_d_f,Z_54_a_f,undirected,accepted
Z_1_d_f,Z_1_a_f,partial,accepted
N21_a_f,N44_a_m,directed,accepted
N22_a_m,N43_a_f,directed,accepted
N21_a_m,N44_a_m,directed,accepted
D0_27_a_f,N29_a_f,undirected,accepted
Z_55_d_m,Z_39_d_f,bidirected,accepted
Z_39_d_f,Z_55_d_m,bidirected,accepted
Z_36_d_m,Z_36_a_m,partial,accepted
N3_d_m,N3_d_g,partial,accepted
N55_a_f,D0_56_a_m,directed,accepted
N48_a_m,D0_48_a_x,directed,accepted
Z_42_d_m,Z_49_d_f,bidirected,accepted
Z_49_d_f,Z_42_d_m,bidirected,accepted
Z_67_a_f,Z_10_d_f,bidirected,accepted
Z_10_d_f,Z_67_a_f,bidirected,accepted
Z_26_d_f,Z_26_a_f,partial,accepted
N45_d_f,N45_d_g,partial,accepted
N3_d_f,N3_d_g,partial,accepted
N45_d_m,N45_d_g,partial,accepted
N60_a_m,N1_a_f,partial,accepted
N12_a_f,N17_a_f,partial,accepted
N15_a_f,N23_a_m,partial,accepted
N26_a_f,N55_a_m,directed,accepted
Z_26_a_m,Z_26_d_m,partial,accepted
N48_a_f,D0_48_a_x,directed,accepted
N68_d_m,N68_d_g,partial,accepted
N12_a_m,N17_a_f,partial,accepted
Z_42_a_f,Z_42_d_f,partial,accepted
N25_d_m,N25_d_g,partial,accepted
N31_d_m,N31_d_g,partial,accepted
Z_70_d_f,Z_35_a_f,bidirected,accepted
Z_35_a_f,Z_70_d_f,bidirected,accepted
N31_d_f,N31_d_g,partial,accepted
N66_a_m,Z_30_a_f,bidirected,accepted
Z_30_a_f,N66_a_m,bidirected,accepted
N26_a_m,N55_a_m,directed,accepted
Z_42_d_m,Z_42_a_m,bidirected,accepted
Z_42_a_m,Z_42_d_m,bidirected,accepted
N15_a_m,N23_a_m,partial,accepted
N39_d_m,N39_d_g,partial,accepted
N34_a_m,D0_34_a_x,directed,accepted
N19_a_f,N34_a_m,directed,accepted
N17_a_m,N36_a_f,directed,accepted
N55_a_m,D0_56_a_m,directed,accepted
N34_a_f,D0_34_a_x,directed,accepted
N39_d_f,N39_d_g,partial,accepted
N17_a_f,N36_a_f,directed,accepted
Z_32_d_f,Z_32_a_f,bidirected,accepted
Z_32_a_f,Z_32_d_f,bidirected,accepted
N73_d_m,N73_d_g,partial,accepted
N13_d_f,N13_d_g,bidirected,accepted
N13_d_g,N13_d_f,bidirected,accepted
Z_7_d_m,Z_7_a_m,undirected,accepted
N19_a_f,N33_a_m,directed,accepted
N17_a_m,N35_a_f,directed,accepted
N56_d_m,N56_d_g,partial,accepted
N59_a_m,D0_59_a_x,directed,accepted
N30_d_m,N30_d_g,partial,accepted
N40_a_f,D0_40_a_x,directed,accepted
N17_a_f,N35_a_f,directed,accepted
N56_d_f,N56_d_g,partial,accepted
N59_a_f,D0_59_a_x,directed,accepted
N30_d_f,N30_d_g,partial,accepted
N57_d_m,N57_d_g,partial,accepted
N73_d_f,N73_d_g,partial,accepted
N14_d_m,N14_d_g,partial,accepted
N17_a_m,N29_a_f,directed,accepted
N50_a_m,D0_50_a_x,directed,accepted
N63_d_f,N63_d_g,partial,accepted
N20_d_f,N20_d_g,partial,accepted
N17_a_f,N29_a_f,directed,accepted
N50_a_f,D0_50_a_x,directed,accepted
N49_a_m,D0_49_a_x,directed,accepted
N21_a_m,N50_a_m,directed,accepted
Z_67_a_m,Z_9_a_m,bidirected,accepted
Z_9_a_m,Z_67_a_m,bidirected,accepted
N20_d_m,N20_d_g,partial,accepted
Z_58_d_m,Z_58_a_m,undirected,accepted
D1_27_a_m,Z_67_d_m,partial,accepted
N23_a_f,D0_23_a_x,directed,accepted
N21_a_f,N50_a_m,directed,accepted
N40_a_m,D0_40_a_x,directed,accepted
N46_d_f,N46_d_g,partial,accepted
Z_32_a_m,Z_32_d_m,partial,accepted
Z_43_d_m,Z_21_a_f,bidirected,accepted
Z_21_a_f,Z_43_d_m,bidirected,accepted
N63_d_m,N63_d_g,partial,accepted
N23_a_m,D0_23_a_x,directed,accepted
N49_a_f,D0_49_a_x,directed,accepted
Z_58_a_f,Z_58_d_f,partial,accepted
N67_d_m,N67_d_g,partial,accepted
N12_a_f,N18_a_f,partial,accepted
N1_a_f,N68_a_f,directed,accepted
N21_a_f,N43_a_m,directed,accepted
N22_a_m,N42_a_f,directed,accepted
N9_a_m,N19_a_f,directed,accepted
N67_d_f,N67_d_g,partial,accepted
Z_64_d_f,Z_64_a_f,bidirected,accepted
Z_64_a_f,Z_64_d_f,bidirected,accepted
N1_a_m,N68_a_f,directed,accepted
Z_21_d_f,Z_21_a_f,bidirected,accepted
Z_21_a_f,Z_21_d_f,bidirected,accepted
N12_a_m,N18_a_f,partial,accepted
N21_a_m,N43_a_m,directed,accepted
N9_a_f,N19_a_f,directed,accepted
N46_d_m,N46_d_g,partial,accepted
N29_d_f,N29_d_g,partial,accepted
Z_58_d_f,Z_64_a_f,bidirected,accepted
Z_64_a_f,Z_58_d_f,bidirected,accepted
N54_a_m,D0_56_a_f,directed,accepted
Z_55_d_f,Z_24_a_f,bidirected,accepted
Z_24_a_f,Z_55_d_f,bidirected,accepted
N30_a_f,N34_a_f,bidirected,accepted
N34_a_f,N30_a_f,bidirected,accepted
N22_a_f,N42_a_f,directed,accepted
N29_d_m,N29_d_g,partial,accepted
N54_a_f,D0_56_a_f,directed,accepted
N18_a_m,N40_a_f,directed,accepted
N55_a_m,D0_55_a_x,directed,accepted
Z_47_d_m,Z_47_a_m,partial,accepted
N38_a_f,D0_38_a_x,directed,accepted
N3_a_f,N72_a_m,directed,accepted
N52_d_f,N52_d_g,partial,accepted
Z_38_d_f,Z_48_d_m,bidirected,accepted
Z_48_d_m,Z_38_d_f,bidirected,accepted
N18_a_f,N40_a_f,directed,accepted
N7_d_m,N7_d_g,partial,accepted
N55_a_f,D0_55_a_x,directed,accepted
N3_a_m,N72_a_m,directed,accepted
N35_d_f,N35_d_g,partial,accepted
N7_d_f,N7_d_g,partial,accepted
Z_56_d_m,Z_72_a_f,bidirected,accepted
Z_72_a_f,Z_56_d_m,bidirected,accepted
Z_47_d_f,Z_47_a_f,undirected,accepted
Z_64_d_m,Z_64_a_m,partial,accepted
Z_29_a_m,Z_3_d_m,bidirected,accepted
Z_3_d_m,Z_29_a_m,bidirected,accepted
Z_9_d_m,Z_23_a_m,bidirected,accepted
Z_23_a_m,Z_9_d_m,bidirected,accepted
N38_a_m,D0_38_a_x,directed,accepted
Z_21_d_m,Z_21_a_m,undirected,accepted
N52_d_m,N52_d_g,partial,accepted
N19_a_m,N33_a_m,directed,accepted
